id,nombre,descripcion,ultima_actualizacion,api_url
f5ep-x8jq,COMPRAVENTA DE VEHÍCULOS USADOS ABURRÁ SUR,"Dataset con nombre, teléfono y correo eletrónico de las compraventas de vehículos registradas en el Aburrá Sur.",2025-12-19T23:04:20.000Z,https://www.datos.gov.co/resource/f5ep-x8jq.json
73pe-cjjm,RAI Registro de Activos de Información del municipio de Neiva,RAI Registro de Activos de Información Agosto 2023,2025-12-19T23:03:29.000Z,https://www.datos.gov.co/resource/73pe-cjjm.json
bmip-5rjt,ESQUEMA DE PUBLICACIÓN DE INFORMACIÓN,,2025-12-19T23:10:53.000Z,https://www.datos.gov.co/resource/bmip-5rjt.json
dv2d-ud46,Estudiantes Matriculados en Programas Académicos - Institución Universitaria Colegio Mayor de Antioquia,"Este conjunto de datos proporciona información sobre los estudiantes matriculados en los diferentes programas académicos de la Institución Universitaria Colegio Mayor de Antioquia. Incluye detalles sobre el año, semestre de matrícula, programa académico, y características generales de la población estudiantil, como género y nivel académico. Estos datos permiten el análisis de tendencias de matrícula, el crecimiento de programas específicos y estudios demográficos de los estudiantes.",2025-04-02T14:45:00.000Z,https://www.datos.gov.co/resource/dv2d-ud46.json
7ga7-3pjy,Vista Registro Nacional de Turismo - RNT Bucaramanga,"Registro público, en el cual deben inscribirse todos los prestadores de servicios turísticos que efectúen sus operaciones en el territorio de Colombia.",2026-03-06T02:55:34.000Z,https://www.datos.gov.co/resource/7ga7-3pjy.json
n695-q2wu,Prácticas y Pasantías por programa,Prácticas y pasantías por programa académico varios periodos,2025-12-19T22:40:34.000Z,https://www.datos.gov.co/resource/n695-q2wu.json
wr9t-6iur,Activos de Información – FINAGRO 2022,Los Activos de Información identifican y consolidan aquella información digital o física que es usada en la Entidad para efectuar las actividades que se desarrollan en cada uno de los procesos para cumplir con los objetivos corporativos,2025-12-19T22:45:10.000Z,https://www.datos.gov.co/resource/wr9t-6iur.json
9q3f-xiw2,"ESTABLECIMIENTOS EDUCATIVOS PRE ESCOLAR, BASICA Y MEDIA DE MOSQUERA, CUNDINAMARCA","Contiene los datos básicos de cada Establecimiento educativo activo de preescolar, básica y media a nivel nacional del sector oficial y privado con  historico hasta 2017

Se realizaron actualizaciones en la información visualizada a nivel de columnas y datos.",2025-12-19T22:58:35.000Z,https://www.datos.gov.co/resource/9q3f-xiw2.json
6436-j7w2,VISTA PRIMERAS CAUSAS CONSULTA EXTERNA MES AGOSTO,"INCLUYE PRIMERAS CAUSAS DE MORBILIDAD   POR CONSULTA POR URGENCIAS DE COLOMBIANOS,PRIMERAS CAUSAS  DE MORBILIDAD DE ATENCIÓN EN URGENCIAS,CAUSAS DE MORBILIDAD  POR URGENCIAS DE CIUDADANOS  VENEZOLANOS,PRIMERAS CAUSAS  DE MORBILIDAD DE ATENCIÓN EN HOSPITALIZACIÓN,PRIMERAS CAUSA DE MORBILIDAD POR CONSULTA EXTERNA  POR CICLO DE VIDA PRIMERA INFANCIA,PRIMERAS CAUSAS DE MORBILIDAD POR CONSULTA EXTERNA  POR CICLO DE VIDA INFANCIA,PRIMERAS CAUSAS DE MORBILIDAD POR CONSULTA EXTERNA  POR CICLO DE VIDA ADOLESCENCIA,PRIMERAS CAUSAS DE MORBILIDAD POR CONSULTA EXTERNA  POR CICLO DE VIDA JUVENTUD,PRIMERAS CAUSAS DE MORBILIDAD POR CONSULTA EXTERNA  POR CICLO DE VIDA ADULTEZ,PRIMERAS CAUSAS DE MORBILIDAD  CONSULTA EXTERNA  POR CICLO DE VIDA  VEJEZ",2025-12-22T13:05:50.000Z,https://www.datos.gov.co/resource/6436-j7w2.json
2r2t-ej3x,Dipole Exterior Congreso 2018,Puesto de Votación de Congreso de la República del año 2018 con la cantidad de ciudadanos aptos para votar en el Exterior,2025-12-19T23:14:19.000Z,https://www.datos.gov.co/resource/2r2t-ej3x.json
dabb-sns7,ARBOLES_PIEDECUESTANA_ESP,"Es un conjunto de datos donde se presenta el inventario de los árboles con los que cuenta la empresa Municipal de Servicios Públicos y Domiciliarios de Piedecuesta - Piedecuestana ESP, la cual es responsable de su mantenimiento y poda en el municipio de Piedecuesta.",2025-12-19T22:45:01.000Z,https://www.datos.gov.co/resource/dabb-sns7.json
27ia-hnnb,Artesanias de Colombia S.A. - BIC. Registro Activos de información,Registro Activos de información de Artesanias de Colombia S.A. - BIC.,2025-12-19T23:14:03.000Z,https://www.datos.gov.co/resource/27ia-hnnb.json
3rjf-23t7,SECOP I - 201511,"Procesos de Compra pública registrados en el SECOP I desde su implementación, contiene la información del proceso, fase de selección y la adjudicación",2026-04-06T23:07:18.000Z,https://www.datos.gov.co/resource/3rjf-23t7.json
jh8x-n6h6,Operaciones aéreas acumuladas en Colombia,"Conjunto de datos que consolida el total de operaciones aéreas registradas en los aeródromos de Colombia mensualmente adurante el año 2025. La información se presenta de forma agregada y desagregada por mes, aeropuerto, origen, destino, tipo de vuelo, tipo de tráfico y tipo de operación. Estos datos se utilizan para el análisis estadístico del transporte aéreo y el seguimiento de la actividad aeronáutica nacional e internacional.",2026-02-05T19:11:58.000Z,https://www.datos.gov.co/resource/jh8x-n6h6.json
6qp2-u9ub,SECOP II - Procesos - 202211 - 202212,"Registro de los procesos de compra, sean o no adjudicados, hechos en la plataforma SECOP II desde su lanzamiento",2026-04-06T23:32:04.000Z,https://www.datos.gov.co/resource/6qp2-u9ub.json
ijus-ubej,"Evaluación de tierras para el cultivo tecnificado de Zanahoria (Daucus carota), en el departamento de Cundinamarca.","El mapa de evaluación de tierras para el cultivo tecnificado de zanahoria (Daucus carota) en monocultivo, es un instrumento de planificación para las áreas rurales que facilita la identificación de áreas geográficas con una combinación de características físicas, biológicas, humanas e institucionales aptas para un uso determinado, que pueden ser interpretadas en términos de objetivos para la gestión de los territorios. Aplicar la metodología de evaluación de tierras con fines agropecuarios a escala 1:100.000 en el departamento de Cundinamarca, significa con mapas de aptitud como herramientas que permiten identificar posibles núcleos de desarrollo, orientar políticas del sector agropecuario y de la planificación rural del departamento.
Mediante la suscripción del convenio interadministrativo 1851558 de 2020, el departamento de Cundinamarca mediante gestión directa del Gobernador y de la Secretaría de Agricultura, solicita a la UPRA apoyo para continuar con el proceso de ordenamiento territorial agropecuario del departamento, para fortalecer la gestión de información sectorial y su respectiva articulación con el sistema de planeación agropecuario de Cundinamarca y otros instrumentos y herramientas para contribuir a la productividad y competitividad del sector.
Aptitud: Áreas con potencial para el establecimiento y desarrollo del cultivo comercial de la producción de zanahoria (Daucus carota) en monocultivo, para el mercado nacional y de exportación con fines comerciales, bajo un marco legal, normativo y técnico que las define y diferencia de otros usos posibles.
Categorías:
Aptitud Alta: Zonas con las mejores condiciones desde el punto de vista físico, socioecosistémico y socioeconómico. 
Aptitud Media: Zonas con limitaciones moderadas de tipo físico, socioecosistémico y/o socioeconómico. 
Aptitud Baja: Zonas con fuertes limitaciones de tipo físico, socioecosistémico y/o socioeconómico, las cuales podrían adecuarse con grandes inversiones y/o el desarrollo de nuevas tecnologías. 
No apta: Zonas con restricciones físicas y socioecosistémicas que imposibilitan el desarrollo de la actividad. 
Exclusión legal: Zonas en las cuales, por mandato legal, no se permite el desarrollo de la producción de zanahoria (Daucus carota).",2025-12-19T23:05:38.000Z,https://www.datos.gov.co/resource/ijus-ubej.json
